,Exponent,Truth Label,Predicted Label,Confidence
0,0.125,0,0,0.450229709035222
1,0.125,0,1,0.015313935681470138
2,0.125,0,2,0.03215926493108729
3,0.125,0,3,0.013782542113323124
4,0.125,0,4,0.033690658499234305
5,0.125,0,5,0.0015313935681470138
6,0.125,0,6,0.02909647779479326
7,0.125,0,7,0.4241960183767228
8,0.125,1,0,0.021439509954058193
9,0.125,1,1,0.9739663093415007
10,0.125,1,2,0.004594180704441042
11,0.125,1,3,0.0
12,0.125,1,4,0.0
13,0.125,1,5,0.0
14,0.125,1,6,0.0
15,0.125,1,7,0.0
16,0.125,2,0,0.0
17,0.125,2,1,0.018376722817764167
18,0.125,2,2,0.9785604900459418
19,0.125,2,3,0.0030627871362940277
20,0.125,2,4,0.0
21,0.125,2,5,0.0
22,0.125,2,6,0.0
23,0.125,2,7,0.0
24,0.125,3,0,0.006125574272588055
25,0.125,3,1,0.0015313935681470138
26,0.125,3,2,0.0015313935681470138
27,0.125,3,3,0.9862174578866769
28,0.125,3,4,0.0
29,0.125,3,5,0.0015313935681470138
30,0.125,3,6,0.0030627871362940277
31,0.125,3,7,0.0
32,0.125,4,0,
33,0.125,4,1,
34,0.125,4,2,
35,0.125,4,3,
36,0.125,4,4,
37,0.125,4,5,
38,0.125,4,6,
39,0.125,4,7,
40,0.125,5,0,
41,0.125,5,1,
42,0.125,5,2,
43,0.125,5,3,
44,0.125,5,4,
45,0.125,5,5,
46,0.125,5,6,
47,0.125,5,7,
48,0.125,6,0,
49,0.125,6,1,
50,0.125,6,2,
51,0.125,6,3,
52,0.125,6,4,
53,0.125,6,5,
54,0.125,6,6,
55,0.125,6,7,
56,0.125,7,0,
57,0.125,7,1,
58,0.125,7,2,
59,0.125,7,3,
60,0.125,7,4,
61,0.125,7,5,
62,0.125,7,6,
63,0.125,7,7,
64,0.175,0,0,0.5463414634146342
65,0.175,0,1,0.026016260162601626
66,0.175,0,2,0.024390243902439025
67,0.175,0,3,0.013008130081300813
68,0.175,0,4,0.01951219512195122
69,0.175,0,5,0.0016260162601626016
70,0.175,0,6,0.027642276422764227
71,0.175,0,7,0.34146341463414637
72,0.175,1,0,0.024390243902439025
73,0.175,1,1,0.9707317073170731
74,0.175,1,2,0.0032520325203252032
75,0.175,1,3,0.0016260162601626016
76,0.175,1,4,0.0
77,0.175,1,5,0.0
78,0.175,1,6,0.0
79,0.175,1,7,0.0
80,0.175,2,0,0.0
81,0.175,2,1,0.004878048780487805
82,0.175,2,2,0.9934959349593496
83,0.175,2,3,0.0
84,0.175,2,4,0.0
85,0.175,2,5,0.0
86,0.175,2,6,0.0016260162601626016
87,0.175,2,7,0.0
88,0.175,3,0,0.011382113821138212
89,0.175,3,1,0.0032520325203252032
90,0.175,3,2,0.0016260162601626016
91,0.175,3,3,0.975609756097561
92,0.175,3,4,0.0016260162601626016
93,0.175,3,5,0.0
94,0.175,3,6,0.0032520325203252032
95,0.175,3,7,0.0032520325203252032
96,0.175,4,0,
97,0.175,4,1,
98,0.175,4,2,
99,0.175,4,3,
100,0.175,4,4,
101,0.175,4,5,
102,0.175,4,6,
103,0.175,4,7,
104,0.175,5,0,
105,0.175,5,1,
106,0.175,5,2,
107,0.175,5,3,
108,0.175,5,4,
109,0.175,5,5,
110,0.175,5,6,
111,0.175,5,7,
112,0.175,6,0,
113,0.175,6,1,
114,0.175,6,2,
115,0.175,6,3,
116,0.175,6,4,
117,0.175,6,5,
118,0.175,6,6,
119,0.175,6,7,
120,0.175,7,0,
121,0.175,7,1,
122,0.175,7,2,
123,0.175,7,3,
124,0.175,7,4,
125,0.175,7,5,
126,0.175,7,6,
127,0.175,7,7,
128,0.225,0,0,0.6414141414141414
